300 train test
0.0031450506212794796 99.962 64.66
0.003186668539384042 99.958 64.7
0.003226811810315627 99.96 64.9
0.0032129510436230877 99.958 64.84
0.0034752568281243754 99.972 64.91
0.002651802322510487 99.948 64.47
0.0027896566216743376 99.974 64.71
0.002642004546421149 99.97 64.65
0.0025099570829602304 99.974 64.64
0.002266409794997681 99.978 64.95
0.002633335938810578 99.968 64.93
0.0024503334973226577 99.976 64.83
0.0023360403258796507 99.974 64.77
0.002526866909249893 99.972 64.69
0.0024036979088393013 99.978 65.1
0.002421100924024954 99.97 64.63
0.0026863764857163516 99.956 64.9
0.002398256455426631 99.976 64.67
0.0025254093703654264 99.974 64.53
0.0023228325922747175 99.966 64.71
0.0024879388567750982 99.972 64.98
0.0021389318815291957 99.978 64.85
0.002213887313840544 99.974 64.77
0.0021160282784134453 99.968 64.62
0.0021351399248504006 99.97 64.94
0.0019490783286812093 99.97 64.62
